yil,ay,il,arac_tipi,police_adedi,prim_tl,hasar_tl,hasar_prim_orani
2015,1,Bitlis,Otomobil,178,127447,91787,0.72
2015,1,Bitlis,Kamyon,341,562381,484832,0.862
2015,1,Bitlis,Motosiklet,436,497776,496802,0.998
2015,1,Bitlis,Minibüs,298,496256,369564,0.745
2015,1,Bolu,Otomobil,194,212121,182473,0.86
2015,1,Bolu,Kamyon,79,72666,56201,0.773
2015,1,Bolu,Motosiklet,188,185550,163769,0.883
2015,1,Bolu,Minibüs,92,121373,96888,0.798
2015,1,Burdur,Otomobil,208,248261,195778,0.789
2015,1,Burdur,Kamyon,139,113188,101215,0.894
2015,1,Burdur,Motosiklet,212,244679,214717,0.878
2015,1,Burdur,Minibüs,150,90862,64155,0.706
2015,1,Bursa,Otomobil,176,283830,263575,0.929
2015,1,Bursa,Kamyon,372,1940931,1899620,0.979
2015,1,Bursa,Motosiklet,266,1170657,1238868,1.058
2015,1,Bursa,Minibüs,716,2245096,2114125,0.942
2015,1,Çanakkale,Otomobil,75,113753,79494,0.699
2015,1,Çanakkale,Kamyon,154,130125,125282,0.963
2015,1,Çanakkale,Motosiklet,156,149452,136475,0.913
2015,1,Çanakkale,Minibüs,139,189470,176681,0.933
2015,1,Çankırı,Otomobil,148,100126,83480,0.834
2015,1,Çankırı,Kamyon,260,275704,224296,0.814
2015,1,Çankırı,Motosiklet,290,292148,301545,1.032
2015,1,Çankırı,Minibüs,294,460168,363474,0.79
2015,1,Çorum,Otomobil,131,203633,179711,0.883
2015,1,Çorum,Kamyon,275,355372,273778,0.77
2015,1,Çorum,Motosiklet,265,303821,309767,1.02
2015,1,Çorum,Minibüs,222,127849,102176,0.799
2015,1,Denizli,Otomobil,96,133406,101988,0.764
2015,1,Denizli,Kamyon,71,74177,63763,0.86
2015,1,Denizli,Motosiklet,249,110289,103274,0.936
2015,1,Denizli,Minibüs,56,83521,75981,0.91
2015,1,Diyarbakır,Otomobil,77,48626,33519,0.689
2015,1,Diyarbakır,Kamyon,273,291713,257953,0.884
2015,1,Diyarbakır,Motosiklet,109,154715,156648,1.012
2015,1,Diyarbakır,Minibüs,114,180195,129981,0.721
2015,1,Edirne,Otomobil,164,80058,62672,0.783
2015,1,Edirne,Kamyon,160,140120,130524,0.932
2015,1,Edirne,Motosiklet,126,146952,146753,0.999
2015,1,Edirne,Minibüs,77,78059,59926,0.768
2015,1,Elazığ,Otomobil,71,87288,64830,0.743
2015,1,Elazığ,Kamyon,83,40949,35096,0.857
2015,1,Elazığ,Motosiklet,224,192079,165826,0.863
2015,1,Elazığ,Minibüs,25,22364,16995,0.76
2015,1,Erzincan,Otomobil,92,121437,102620,0.845
2015,1,Erzincan,Kamyon,234,287008,252329,0.879
2015,1,Erzincan,Motosiklet,134,150589,146512,0.973
2015,1,Erzincan,Minibüs,164,82586,69496,0.842
2015,1,Erzurum,Otomobil,299,456826,312285,0.684
2015,1,Erzurum,Kamyon,166,92639,70422,0.76
2015,1,Erzurum,Motosiklet,177,323880,279778,0.864
2015,1,Erzurum,Minibüs,278,174773,143821,0.823
2015,1,Eskişehir,Otomobil,74,98198,78182,0.796
2015,1,Eskişehir,Kamyon,344,490052,442988,0.904
2015,1,Eskişehir,Motosiklet,317,740846,655814,0.885
2015,1,Eskişehir,Minibüs,376,695426,574271,0.826
2015,1,Gaziantep,Otomobil,134,117070,99625,0.851
2015,1,Gaziantep,Kamyon,28,11762,10710,0.911
2015,1,Gaziantep,Motosiklet,190,183831,187551,1.02
2015,1,Gaziantep,Minibüs,195,141837,122096,0.861
2015,1,Giresun,Otomobil,307,523673,463534,0.885
2015,1,Giresun,Kamyon,209,227509,225301,0.99
2015,1,Giresun,Motosiklet,250,207015,183930,0.888
2015,1,Giresun,Minibüs,40,26971,19002,0.705
2015,1,Gümüşhane,Otomobil,207,340650,237704,0.698
2015,1,Gümüşhane,Kamyon,223,262631,241726,0.92
2015,1,Gümüşhane,Motosiklet,333,326888,308585,0.944
2015,1,Gümüşhane,Minibüs,259,431816,370168,0.857
2015,1,Hakkari,Otomobil,153,45085,35368,0.784
2015,1,Hakkari,Kamyon,99,66020,56504,0.856
2015,1,Hakkari,Motosiklet,151,129292,138035,1.068
2015,1,Hakkari,Minibüs,28,15068,13472,0.894
2015,1,Hatay,Otomobil,145,284752,233629,0.82
2015,1,Hatay,Kamyon,229,289624,271585,0.938
2015,1,Hatay,Motosiklet,192,184388,168610,0.914
2015,1,Hatay,Minibüs,303,420083,380853,0.907
2015,1,Isparta,Otomobil,163,99445,70108,0.705
2015,1,Isparta,Kamyon,62,21420,20913,0.976
2015,1,Isparta,Motosiklet,52,34472,36512,1.059
2015,1,Isparta,Minibüs,114,138228,116575,0.843
2015,1,Mersin,Otomobil,143,48582,34149,0.703
2015,1,Mersin,Kamyon,153,80519,73926,0.918
2015,1,Mersin,Motosiklet,35,30735,31269,1.017
2015,1,Mersin,Minibüs,54,53141,50141,0.944
2015,1,İstanbul,Otomobil,2235,22450167,17744221,0.79
2015,1,İstanbul,Kamyon,1320,13206696,12235447,0.926
2015,1,İstanbul,Motosiklet,1440,8024988,8108268,1.01
2015,1,İstanbul,Minibüs,2250,11502786,8293815,0.721
2015,1,İzmir,Otomobil,475,1531480,1193272,0.779
2015,1,İzmir,Kamyon,830,4883995,3762323,0.77
2015,1,İzmir,Motosiklet,535,1756273,1695376,0.965
2015,1,İzmir,Minibüs,1035,4179880,3775267,0.903
2015,1,Kars,Otomobil,325,835564,725557,0.868
2015,1,Kars,Kamyon,103,210299,183047,0.87
2015,1,Kars,Motosiklet,357,627043,580676,0.926
2015,1,Kars,Minibüs,342,452059,365540,0.809
2015,1,Kastamonu,Otomobil,113,47844,38139,0.797
2015,1,Kastamonu,Kamyon,54,67349,63429,0.942
2015,1,Kastamonu,Motosiklet,221,252737,254382,1.007
2015,1,Kastamonu,Minibüs,203,303886,241199,0.794
2015,1,Kayseri,Otomobil,153,55366,44962,0.812
2015,1,Kayseri,Kamyon,61,65593,49394,0.753
2015,1,Kayseri,Motosiklet,76,56642,51015,0.901
2015,1,Kayseri,Minibüs,47,33950,32192,0.948
2015,1,Kırklareli,Otomobil,216,228252,194893,0.854
2015,1,Kırklareli,Kamyon,381,578972,525330,0.907
2015,1,Kırklareli,Motosiklet,49,55264,59074,1.069
2015,1,Kırklareli,Minibüs,80,129961,120251,0.925
2015,1,Kırşehir,Otomobil,297,508150,467333,0.92
2015,1,Kırşehir,Kamyon,195,327114,282598,0.864
2015,1,Kırşehir,Motosiklet,124,116007,100046,0.862
2015,1,Kırşehir,Minibüs,129,142782,112560,0.788
2015,1,Kocaeli,Otomobil,87,46444,35765,0.77
2015,1,Kocaeli,Kamyon,106,121326,112170,0.925
2015,1,Kocaeli,Motosiklet,74,40371,37254,0.923
2015,1,Kocaeli,Minibüs,103,55423,40641,0.733
2015,1,Konya,Otomobil,54,91120,83598,0.917
2015,1,Konya,Kamyon,197,264776,259425,0.98
2015,1,Konya,Motosiklet,38,70078,72636,1.037
2015,1,Konya,Minibüs,267,200727,161146,0.803
2015,1,Kütahya,Otomobil,137,114689,106295,0.927
2015,1,Kütahya,Kamyon,73,38533,36120,0.937
2015,1,Kütahya,Motosiklet,86,81765,84261,1.031
2015,1,Kütahya,Minibüs,151,89605,72015,0.804
2015,1,Malatya,Otomobil,406,315619,220567,0.699
2015,1,Malatya,Kamyon,230,646067,645523,0.999
2015,1,Malatya,Motosiklet,455,889449,890810,1.002
2015,1,Malatya,Minibüs,235,587451,447541,0.762
2015,1,Manisa,Otomobil,61,36719,27277,0.743
2015,1,Manisa,Kamyon,106,108815,87831,0.807
2015,1,Manisa,Motosiklet,201,238429,198307,0.832
2015,1,Manisa,Minibüs,69,34853,30248,0.868
2015,1,Kahramanmaraş,Otomobil,161,227200,201717,0.888
2015,1,Kahramanmaraş,Kamyon,271,553631,491611,0.888
2015,1,Kahramanmaraş,Motosiklet,334,253694,258248,1.018
2015,1,Kahramanmaraş,Minibüs,343,286815,202834,0.707
2015,1,Mardin,Otomobil,132,172802,145126,0.84
2015,1,Mardin,Kamyon,64,42070,32986,0.784
2015,1,Mardin,Motosiklet,155,237509,230863,0.972
2015,1,Mardin,Minibüs,200,172346,139491,0.809
2015,1,Muğla,Otomobil,329,523911,427962,0.817
2015,1,Muğla,Kamyon,254,282079,255428,0.906
2015,1,Muğla,Motosiklet,66,102328,104284,1.019
2015,1,Muğla,Minibüs,124,233726,192363,0.823
2015,1,Muş,Otomobil,265,327473,302915,0.925
2015,1,Muş,Kamyon,69,73688,59118,0.802
2015,1,Muş,Motosiklet,62,56224,47170,0.839
2015,1,Muş,Minibüs,203,251156,212526,0.846
2015,1,Nevşehir,Otomobil,181,181468,131567,0.725
2015,1,Nevşehir,Kamyon,187,125301,122067,0.974
2015,1,Nevşehir,Motosiklet,104,86345,91808,1.063
2015,1,Nevşehir,Minibüs,47,24682,17529,0.71
2015,1,Niğde,Otomobil,52,79351,60854,0.767
2015,1,Niğde,Kamyon,69,67203,52429,0.78
2015,1,Niğde,Motosiklet,275,426105,444663,1.044
2015,1,Niğde,Minibüs,471,879312,767286,0.873
2015,1,Ordu,Otomobil,102,86205,68988,0.8
2015,1,Ordu,Kamyon,221,182464,176697,0.968
2015,1,Ordu,Motosiklet,310,425769,349406,0.821
2015,1,Ordu,Minibüs,287,622369,552081,0.887
2015,1,Rize,Otomobil,289,821914,669159,0.814
2015,1,Rize,Kamyon,100,178692,161638,0.905
2015,1,Rize,Motosiklet,121,210612,212058,1.007
2015,1,Rize,Minibüs,60,64642,47400,0.733
2015,1,Sakarya,Otomobil,48,123147,99492,0.808
2015,1,Sakarya,Kamyon,266,213652,206559,0.967
2015,1,Sakarya,Motosiklet,317,579030,509904,0.881
2015,1,Sakarya,Minibüs,155,234053,165011,0.705
2015,1,Samsun,Otomobil,352,670133,470635,0.702
2015,1,Samsun,Kamyon,125,95517,92902,0.973
2015,1,Samsun,Motosiklet,187,247599,225012,0.909
2015,1,Samsun,Minibüs,202,275274,198673,0.722
2015,1,Siirt,Otomobil,151,345579,283179,0.819
2015,1,Siirt,Kamyon,447,739322,578072,0.782
2015,1,Siirt,Motosiklet,448,653198,682534,1.045
2015,1,Siirt,Minibüs,348,676264,533588,0.789
2015,1,Sinop,Otomobil,149,82338,75209,0.913
2015,1,Sinop,Kamyon,175,64855,51119,0.788
2015,1,Sinop,Motosiklet,58,24215,20985,0.867
2015,1,Sinop,Minibüs,132,122924,87757,0.714
2015,1,Sivas,Otomobil,81,34580,28048,0.811
2015,1,Sivas,Kamyon,38,38763,38736,0.999
2015,1,Sivas,Motosiklet,24,17577,18673,1.062
2015,1,Sivas,Minibüs,23,8161,7702,0.944
2015,1,Tekirdağ,Otomobil,47,18330,15528,0.847
2015,1,Tekirdağ,Kamyon,162,127907,113038,0.884
2015,1,Tekirdağ,Motosiklet,24,11270,11409,1.012
2015,1,Tekirdağ,Minibüs,124,120481,105750,0.878
2015,1,Tokat,Otomobil,137,138578,102631,0.741
2015,1,Tokat,Kamyon,50,62164,58555,0.942
2015,1,Tokat,Motosiklet,45,49365,42384,0.859
2015,1,Tokat,Minibüs,213,169218,143576,0.848
2015,1,Trabzon,Otomobil,251,221205,157852,0.714
2015,1,Trabzon,Kamyon,260,298613,239019,0.8
2015,1,Trabzon,Motosiklet,124,183140,161833,0.884
2015,1,Trabzon,Minibüs,85,39191,28577,0.729
2015,1,Tunceli,Otomobil,219,197156,154365,0.783
2015,1,Tunceli,Kamyon,70,35487,34162,0.963
2015,1,Tunceli,Motosiklet,241,345144,293743,0.851
2015,1,Tunceli,Minibüs,208,303691,228148,0.751
2015,1,Şanlıurfa,Otomobil,73,182349,156892,0.86
2015,1,Şanlıurfa,Kamyon,95,221738,174051,0.785
2015,1,Şanlıurfa,Motosiklet,360,776612,792054,1.02
2015,1,Şanlıurfa,Minibüs,299,305623,276174,0.904
2015,1,Uşak,Otomobil,235,283468,257095,0.907
2015,1,Uşak,Kamyon,75,112550,95454,0.848
2015,1,Uşak,Motosiklet,189,186423,186133,0.998
2015,1,Uşak,Minibüs,185,184879,143344,0.775
2015,1,Van,Otomobil,35,30684,25295,0.824
2015,1,Van,Kamyon,96,132502,112093,0.846
2015,1,Van,Motosiklet,177,245635,239754,0.976
2015,1,Van,Minibüs,240,208518,163312,0.783
2015,1,Yozgat,Otomobil,155,161951,115765,0.715
2015,1,Yozgat,Kamyon,43,79899,69820,0.874
2015,1,Yozgat,Motosiklet,190,266228,284710,1.069
2015,1,Yozgat,Minibüs,333,336386,256367,0.762
2015,1,Zonguldak,Otomobil,194,86222,63040,0.731
2015,1,Zonguldak,Kamyon,147,145178,140705,0.969
2015,1,Zonguldak,Motosiklet,160,65468,62464,0.954
2015,1,Zonguldak,Minibüs,140,148578,108740,0.732
2015,1,Aksaray,Otomobil,200,328251,267513,0.815
2015,1,Aksaray,Kamyon,177,198903,185091,0.931
2015,1,Aksaray,Motosiklet,154,109703,106369,0.97
2015,1,Aksaray,Minibüs,404,694032,529511,0.763
2015,1,Bayburt,Otomobil,41,37816,34781,0.92
2015,1,Bayburt,Kamyon,144,105662,89835,0.85
2015,1,Bayburt,Motosiklet,123,62095,60464,0.974
2015,1,Bayburt,Minibüs,94,69180,57175,0.826
2015,1,Karaman,Otomobil,158,375313,310849,0.828
2015,1,Karaman,Kamyon,401,1120937,1062111,0.948
2015,1,Karaman,Motosiklet,338,788993,677062,0.858
2015,1,Karaman,Minibüs,139,223630,160394,0.717
2015,1,Kırıkkale,Otomobil,84,170883,156117,0.914
2015,1,Kırıkkale,Kamyon,221,520797,406587,0.781
2015,1,Kırıkkale,Motosiklet,126,314203,323542,1.03
2015,1,Kırıkkale,Minibüs,194,430911,337419,0.783
2015,1,Batman,Otomobil,213,181580,150315,0.828
2015,1,Batman,Kamyon,86,61722,57775,0.936
2015,1,Batman,Motosiklet,110,123954,101785,0.821
2015,1,Batman,Minibüs,208,96026,77169,0.804
2015,1,Şırnak,Otomobil,42,36036,27624,0.767
2015,1,Şırnak,Kamyon,78,44033,43135,0.98
2015,1,Şırnak,Motosiklet,53,20841,19446,0.933
2015,1,Şırnak,Minibüs,69,28223,23831,0.844
2015,1,Bartın,Otomobil,199,298348,271112,0.909
2015,1,Bartın,Kamyon,196,429620,352029,0.819
2015,1,Bartın,Motosiklet,176,127027,125233,0.986
2015,1,Bartın,Minibüs,336,852730,628603,0.737
2015,1,Ardahan,Otomobil,132,282573,229948,0.814
2015,1,Ardahan,Kamyon,325,492036,442264,0.899
2015,1,Ardahan,Motosiklet,151,200916,186188,0.927
2015,1,Ardahan,Minibüs,388,855983,643087,0.751
2015,1,Iğdır,Otomobil,270,475840,368505,0.774
2015,1,Iğdır,Kamyon,156,258206,197896,0.766
2015,1,Iğdır,Motosiklet,102,195960,186536,0.952
2015,1,Iğdır,Minibüs,131,178510,149932,0.84
2015,1,Yalova,Otomobil,309,266418,203434,0.764
2015,1,Yalova,Kamyon,87,210548,177560,0.843
2015,1,Yalova,Motosiklet,348,572425,583980,1.02
2015,1,Yalova,Minibüs,87,83558,73446,0.879
2015,1,Karabük,Otomobil,140,83615,68391,0.818
2015,1,Karabük,Kamyon,130,59842,54933,0.918
2015,1,Karabük,Motosiklet,132,47790,48744,1.02
2015,1,Karabük,Minibüs,40,38735,32505,0.839
2015,1,Kilis,Otomobil,172,96538,71514,0.741
2015,1,Kilis,Kamyon,69,80856,76951,0.952
2015,1,Kilis,Motosiklet,247,227769,224812,0.987
2015,1,Kilis,Minibüs,246,195827,180960,0.924
2015,1,Osmaniye,Otomobil,21,17552,15164,0.864
2015,1,Osmaniye,Kamyon,51,16683,13268,0.795
2015,1,Osmaniye,Motosiklet,32,27006,26897,0.996
2015,1,Osmaniye,Minibüs,165,163393,128337,0.785
2015,1,Düzce,Otomobil,255,602979,464754,0.771
2015,1,Düzce,Kamyon,151,189741,171912,0.906
2015,1,Düzce,Motosiklet,425,961619,875736,0.911
2015,1,Düzce,Minibüs,92,120435,112861,0.937
2015,2,Adana,Otomobil,219,309697,219438,0.709
2015,2,Adana,Kamyon,116,122100,118881,0.974
2015,2,Adana,Motosiklet,99,66822,62892,0.941
2015,2,Adana,Minibüs,145,113395,94731,0.835
2015,2,Adıyaman,Otomobil,276,449178,329923,0.735
2015,2,Adıyaman,Kamyon,315,801950,798822,0.996
2015,2,Adıyaman,Motosiklet,474,1272834,1263676,0.993
2015,2,Adıyaman,Minibüs,330,267783,248656,0.929
2015,2,Afyonkarahisar,Otomobil,316,665698,535569,0.805
2015,2,Afyonkarahisar,Kamyon,67,109905,100327,0.913
2015,2,Afyonkarahisar,Motosiklet,346,670241,567455,0.847
2015,2,Afyonkarahisar,Minibüs,317,283578,262310,0.925
2015,2,Ağrı,Otomobil,131,227090,168655,0.743
2015,2,Ağrı,Kamyon,205,333595,264821,0.794
2015,2,Ağrı,Motosiklet,159,302271,278420,0.921
2015,2,Ağrı,Minibüs,171,238740,169921,0.712
2015,2,Amasya,Otomobil,146,144802,101462,0.701
2015,2,Amasya,Kamyon,139,141983,108909,0.767
2015,2,Amasya,Motosiklet,129,75758,68857,0.909
2015,2,Amasya,Minibüs,66,64478,54974,0.853
2015,2,Ankara,Otomobil,1077,5968661,5048996,0.846
2015,2,Ankara,Kamyon,885,2912542,2536645,0.871
2015,2,Ankara,Motosiklet,897,2337410,2069930,0.886
2015,2,Ankara,Minibüs,828,6585991,6003802,0.912
2015,2,Antalya,Otomobil,662,1207783,1009505,0.836
2015,2,Antalya,Kamyon,798,1320870,1015464,0.769
2015,2,Antalya,Motosiklet,105,286968,285886,0.996
2015,2,Antalya,Minibüs,244,685784,522293,0.762
2015,2,Artvin,Otomobil,163,143458,97635,0.681
2015,2,Artvin,Kamyon,438,555249,498367,0.898
2015,2,Artvin,Motosiklet,293,396234,404894,1.022
2015,2,Artvin,Minibüs,320,319316,299377,0.938
2015,2,Aydın,Otomobil,259,363444,255020,0.702
2015,2,Aydın,Kamyon,92,180399,168322,0.933
2015,2,Aydın,Motosiklet,142,252794,253053,1.001
2015,2,Aydın,Minibüs,178,379414,351277,0.926
2015,2,Balıkesir,Otomobil,252,257980,239126,0.927
2015,2,Balıkesir,Kamyon,329,595215,452983,0.761
2015,2,Balıkesir,Motosiklet,51,115061,99544,0.865
2015,2,Balıkesir,Minibüs,107,239575,169735,0.708
2015,2,Bilecik,Otomobil,52,39373,28669,0.728
2015,2,Bilecik,Kamyon,118,108938,107420,0.986
2015,2,Bilecik,Motosiklet,41,31442,26213,0.834
2015,2,Bilecik,Minibüs,141,86418,74417,0.861
2015,2,Bingöl,Otomobil,61,126106,93003,0.738
2015,2,Bingöl,Kamyon,232,422052,409917,0.971
2015,2,Bingöl,Motosiklet,215,325751,326139,1.001
2015,2,Bingöl,Minibüs,404,814449,733813,0.901
2015,2,Bitlis,Otomobil,46,103119,78338,0.76
2015,2,Bitlis,Kamyon,228,391319,335244,0.857
2015,2,Bitlis,Motosiklet,138,159882,132078,0.826
2015,2,Bitlis,Minibüs,193,507468,355257,0.7
2015,2,Bolu,Otomobil,142,125098,114435,0.915
2015,2,Bolu,Kamyon,123,52647,39610,0.752
2015,2,Bolu,Motosiklet,34,37948,34930,0.92
2015,2,Bolu,Minibüs,131,109051,92168,0.845
2015,2,Burdur,Otomobil,121,153291,133680,0.872
2015,2,Burdur,Kamyon,195,128312,112995,0.881
2015,2,Burdur,Motosiklet,48,27181,23039,0.848
2015,2,Burdur,Minibüs,81,50301,45935,0.913
2015,2,Bursa,Otomobil,351,830145,573234,0.691
2015,2,Bursa,Kamyon,435,2194550,1670656,0.761
2015,2,Bursa,Motosiklet,806,2387318,2363234,0.99
2015,2,Bursa,Minibüs,340,1777318,1598692,0.899
2015,2,Çanakkale,Otomobil,244,262197,242684,0.926
2015,2,Çanakkale,Kamyon,188,277588,240627,0.867
2015,2,Çanakkale,Motosiklet,195,297707,299445,1.006
2015,2,Çanakkale,Minibüs,158,106148,99320,0.936
2015,2,Çankırı,Otomobil,74,64555,57302,0.888
2015,2,Çankırı,Kamyon,276,240814,191238,0.794
2015,2,Çankırı,Motosiklet,178,104626,110832,1.059
2015,2,Çankırı,Minibüs,283,296553,211875,0.714
2015,2,Çorum,Otomobil,57,43807,35464,0.81
2015,2,Çorum,Kamyon,41,73813,58568,0.793
2015,2,Çorum,Motosiklet,281,417763,415258,0.994
2015,2,Çorum,Minibüs,159,265715,216782,0.816
2015,2,Denizli,Otomobil,160,104190,84836,0.814
2015,2,Denizli,Kamyon,190,265069,255799,0.965
2015,2,Denizli,Motosiklet,159,218743,193893,0.886
2015,2,Denizli,Minibüs,39,54142,50834,0.939
2015,2,Diyarbakır,Otomobil,277,177111,135005,0.762
2015,2,Diyarbakır,Kamyon,53,77658,59932,0.772
2015,2,Diyarbakır,Motosiklet,125,147472,130503,0.885
2015,2,Diyarbakır,Minibüs,318,210134,175073,0.833
2015,2,Edirne,Otomobil,34,17365,14774,0.851
2015,2,Edirne,Kamyon,51,18968,18412,0.971
2015,2,Edirne,Motosiklet,145,121273,124446,1.026
2015,2,Edirne,Minibüs,41,36791,30755,0.836
2015,2,Elazığ,Otomobil,144,175416,142142,0.81
2015,2,Elazığ,Kamyon,194,220077,211856,0.963
2015,2,Elazığ,Motosiklet,54,31407,28376,0.904
2015,2,Elazığ,Minibüs,47,55353,48159,0.87
2015,2,Erzincan,Otomobil,133,173015,125834,0.727
2015,2,Erzincan,Kamyon,101,153875,148944,0.968
2015,2,Erzincan,Motosiklet,44,64069,54600,0.852
2015,2,Erzincan,Minibüs,229,166035,153943,0.927
2015,2,Erzurum,Otomobil,81,130390,115790,0.888
2015,2,Erzurum,Kamyon,37,18651,15326,0.822
2015,2,Erzurum,Motosiklet,58,54526,52342,0.96
2015,2,Erzurum,Minibüs,253,214883,184477,0.859
2015,2,Eskişehir,Otomobil,333,735913,524052,0.712
2015,2,Eskişehir,Kamyon,393,280658,240821,0.858
2015,2,Eskişehir,Motosiklet,312,440761,381202,0.865
2015,2,Eskişehir,Minibüs,73,63605,59426,0.934
2015,2,Gaziantep,Otomobil,176,193180,177112,0.917
2015,2,Gaziantep,Kamyon,105,108882,83494,0.767
2015,2,Gaziantep,Motosiklet,194,157139,131129,0.834
2015,2,Gaziantep,Minibüs,74,29309,26902,0.918
2015,2,Giresun,Otomobil,159,240017,189970,0.791
2015,2,Giresun,Kamyon,197,141218,132683,0.94
2015,2,Giresun,Motosiklet,36,22437,23006,1.025
2015,2,Giresun,Minibüs,274,339059,302644,0.893
2015,2,Gümüşhane,Otomobil,76,43576,31363,0.72
2015,2,Gümüşhane,Kamyon,196,419351,359193,0.857
2015,2,Gümüşhane,Motosiklet,318,608919,579542,0.952
2015,2,Gümüşhane,Minibüs,238,395661,298800,0.755
2015,2,Hakkari,Otomobil,59,49050,36175,0.738
2015,2,Hakkari,Kamyon,25,22525,22317,0.991
2015,2,Hakkari,Motosiklet,162,94329,99602,1.056
2015,2,Hakkari,Minibüs,135,98970,79116,0.799
2015,2,Hatay,Otomobil,355,456517,346034,0.758
2015,2,Hatay,Kamyon,77,154528,124779,0.807
2015,2,Hatay,Motosiklet,358,322172,334102,1.037
2015,2,Hatay,Minibüs,238,278044,254713,0.916
2015,2,Isparta,Otomobil,107,89525,64441,0.72
2015,2,Isparta,Kamyon,81,33987,26795,0.788
2015,2,Isparta,Motosiklet,31,34561,34915,1.01
2015,2,Isparta,Minibüs,182,194853,150726,0.774
2015,2,Mersin,Otomobil,25,24410,20361,0.834
2015,2,Mersin,Kamyon,32,20086,15070,0.75
2015,2,Mersin,Motosiklet,111,81928,72251,0.882
2015,2,Mersin,Minibüs,20,8577,7058,0.823
2015,2,İstanbul,Otomobil,1840,20546754,15645970,0.761
2015,2,İstanbul,Kamyon,2175,27781601,22991788,0.828
2015,2,İstanbul,Motosiklet,1270,7169641,6711856,0.936
2015,2,İstanbul,Minibüs,1845,15407587,14539754,0.944
2015,2,İzmir,Otomobil,537,1935425,1652360,0.854
2015,2,İzmir,Kamyon,845,6117434,5976455,0.977
2015,2,İzmir,Motosiklet,790,3667802,3103813,0.846
2015,2,İzmir,Minibüs,1125,2886028,2432131,0.843
2015,2,Kars,Otomobil,111,178883,131047,0.733
2015,2,Kars,Kamyon,181,318341,239533,0.752
2015,2,Kars,Motosiklet,348,584259,491926,0.842
2015,2,Kars,Minibüs,400,302380,217606,0.72
2015,2,Kastamonu,Otomobil,233,180403,166758,0.924
2015,2,Kastamonu,Kamyon,71,84423,80214,0.95
2015,2,Kastamonu,Motosiklet,79,47375,40085,0.846
2015,2,Kastamonu,Minibüs,187,225946,159946,0.708
2015,2,Kayseri,Otomobil,114,90561,75458,0.833
2015,2,Kayseri,Kamyon,33,28687,27761,0.968
2015,2,Kayseri,Motosiklet,83,66520,67574,1.016
